## 置顶词与自定义词组在这个文件里指定 排序原则上语气词 动词 形容词>名词
## 格式：文本-输入码-权重，其间用 Tab 符分隔。
## 如要添加新的，可以复制已有的行，然后在其基础上修改。
## 置顶字词

一	y	103029
丁	d	3004
七	q	6364
万	w	87991
三	s	44644
上	u	414865
下	x	140428
不	b	198117
与	y	465722
丑	i	5133
专	v	3220
且	q	75333
世	u	1226
业	y	2607
东	d	4147
丝	s	2552
丢	d	5640
两	l	10913
严	y	1510
丧	s	1134
个	g	219075
中	v	532908
串	i	1624
临	l	1276
丸	w	1369
为	w	310675
主	v	16661
举	j	3918
乃	n	4239
久	j	3066
么	m	58835
义	y	1374
之	v	55725
乌	w	1574
乎	h	2166
乔	q	1722
乙	y	3375
九	j	4769
也	y	680635
乡	x	1374
书	u	50684
买	m	82088
乱	l	8119
争	v	2727
事	u	11038
二	e	56390
于	y	65294
亏	k	5263
云	y	12160
互	h	1125
五	w	16633
井	j	1018
亚	y	2998
些	x	17015
亡	w	1016
交	j	10207
亦	y	9116
产	i	2379
亩	m	1030
亮	l	3645
人	r	190759
亿	y	33888
仁	r	1113
仅	j	15142
今	j	4996
仍	r	9852
从	c	425495
从	z	425495
仓	c	2298
他	t	460695
仗	v	1197
付	f	3383
仙	x	2039
代	d	12245
令	l	8923
以	y	201356
仨	s	1397
仪	y	1705
们	m	84934
件	j	7380
任	r	3950
份	f	6825
仿	f	1208
伊	y	1592
伐	f	1835
休	x	1423
众	v	3216
优	y	1935
伞	s	1288
伤	u	3700
伪	w	4560
伸	u	1028
似	s	2011
似	u	2011
但	d	517905
位	w	21132
低	d	35464
住	v	13716
体	t	6854
何	h	2226
余	y	2268
作	z	19518
你	n	513457
佬	l	1009
佳	j	1092
使	u	34311
例	l	5696
供	g	5144
依	y	2181
侠	x	1902
侧	c	3582
侯	h	1620
俄	e	2075
保	b	5730
信	x	9552
修	x	6912
俺	a	3597
倍	b	24566
倒	d	10349
借	j	9352
债	v	2502
值	v	19910
假	j	8911
