她	tln
趣	qft
二	eha
壬	rsp
右	yru
时	ubo
础	imu
噢	opk
醅	piy
吖	alk
鸽	grr
盉	heh
玖	jzw
渴	kld
崽	zuu
孝	xll
丛	cjr
遮	vrz
叭	blk
倪	nbr
嘛	mlk
肮	auo
袄	axp
扒	blf
宝	bxb
栟	bem
泵	bfu
邦	buf
毕	btb
病	bwb
摽	blf
泊	bed
卑	bip
曹	cic
苍	cuc
瓷	cbd
惭	cpx
锉	cpj
存	cfu
德	der
党	dpx
堤	djt
儋	dnr
疔	deb
簟	dav
鲷	dmy
惰	dpx
迭	dsz
恫	dyx
蠹	dhg
怼	dfy
囤	drk
锋	fcj
邡	fuf
篚	fjv
膏	gqw
盖	goy
冈	guk
玕	gnw
官	gdb
骨	gmg
簋	gvv
钩	gxj
孩	hdz
盒	her
桁	hfm
颔	har
荒	hwc
惑	hpg
擐	hcf
纮	hjs
祜	hhp
徽	htr
浑	hfd
厚	hri
叉	ily
珵	ifw
嗤	ijk
颤	iaw
惙	ipx
涌	ynd
琡	ihw
圌	iwk
近	jvz
及	jbp
奖	jul
检	jpm
嚼	juk
揭	jkf
九	jzp
镌	jdj
冏	jek
惧	jfx
架	jxl
畯	jrt
犒	kvn
磕	kru
扛	kwf
砍	kou
𫛭	kbq
括	kpf
圐	kak
揦	luf
檩	lxm
耢	lvl
坜	ltt
领	lwr
晾	leo
络	lps
烈	lqd
溜	lzd
鹭	lhz
檑	lrm
娄	lam
嘛	mlk
贸	mvp
檬	mfm
密	mtb
万	waa
湄	mrd
哪	nmk
昵	nto
嬢	nin
袅	nln
弩	nmn
噢	opk
鸥	oxq
贫	pcf
排	pdf
抨	pcf
披	pjf
爿	ppv
飘	pmx
酺	ply
期	qjc
鲭	qey
骞	qrb
佺	qor
穹	qkb
曲	qsk
忍	ror
瓤	rwy
爇	rpc
冗	rnb
嬬	rln
搔	sqf
塞	sbb
涩	sid
泗	std
蔌	shc
碎	sfu
飕	sxf
淘	tid
汰	tod
替	ttf
谭	tpy
托	tsf
嗵	tkk
吐	tmk
嗄	uik
沈	uod
升	ucp
食	ubr
苫	uac
霜	uwy
疏	uav
艏	uzv
招	vqf
谪	vey
砧	veu
吱	vjk
状	vel
卓	vlb
珠	vaw
咒	vrk
闻	wsm
瓮	wfg
挝	wpf
五	wma
辛	xhl
夕	xjp
相	xym
嫌	xvn
箫	xmv
休	xzr
凶	xpk
削	xmx
许	xsy
讯	xry
吖	alk
吟	yck
爻	yix
杨	ywm
咦	ybk
腌	yno
鹰	yeg
唷	ypk
咏	ynk
竽	ymv
繇	yav
咂	zlk
兹	zjb
酂	zan
作	zpr
宗	zkb

唉	aoku/
碍	aouc/
砹	aoux/
毐	autm/
嗳	auky/
蔼	aucr/
霭	auyr/
嗌	aokm/
叆	aoyy/
皑	adbj/
案	aabm/
胺	aaon/
鞍	angn/
盦	anrm/
垵	antn/
犴	aaqg/
𩽾	anyn/
敖	aifw/
鳌	aify/
螯	aifi/
拗	avfl/
獒	aifq/
鏊	avfj/
鏖	ailj/
骜	avfm/
聱	aife/
奡	avbl/
嶅	aifu/
拔	bufy/
爸	bifb/
巴	blsl/
捌	blfd/
魃	bugy/
鲃	blyb/
鲅	biyy/
菝	bucy/
朳	blmb/
殡	bvdb/
濒	bhdy/
摈	bvfb/
玢	fewf/
槟	bhmb/
抱	bvfb/
堡	bxrt/
